Column1;areal;befolkning;beskrivelse;besteget;dato;hoyde2;hoyde;kommunenavn;kommunenr;lat;lng;topp;length;dateandtime;tottime;stop_time;walk_time;pause_faktor;avg_speed;elediff;climbing;steepness;climbingrate;kupert_faktor;topptur_faktor;Walk;Ski;Cycle;startPointLat;startPointLon;endPointLat;endPointLon;closestPoint;Dublicate;crc32_hash
4;317.67;1745;Vestre varde på Hestgrovheia er nå besteget og Agdenes kan krysses ut på kommunetopplisten. Kjørte bil til Lensvika og tok av mot Landrø. Fulgte en steinete bomveg (20 kr) oppover dalen inntil vi var rett sør for Hestgrovheia. Startet turen med å gå forbi et gammelt steinbrudd der det hang ett par utgåtte sko på et informsjonsskilt. Det var ingen sjanse til å bomme på toppen da den var merket med staur med refleks på nesten hele veien.;SANN;15.05.2011;656.2;656.0;Agdenes;1622;63.5188153;9.680149417;Hestgrovheia;5.93;2011-05-15 09:08:22;2:36:11;0:44:58;1:51:13;28.8;3.2;370.5;397.5;134.0;7.1;1.07;56.5;5933.2;0.0;0.0;63.506561279;9.702274323;63.506443024;9.702375412;1.9065250346194154;USANN;773304083.0
324;187.21;7296;;USANN;;1071.8;1066.0;Alstahaug;1820;65.96169089;12.62815024;Botnkrona;;;;;;;;;;;;;;;;;;;;;;;
256;3849.59;19071;;USANN;;1149.1;1149.0;Alta;2012;69.92931831;22.80876165;Store Haldi;;;;;;;;;;;;;;;;;;;;;;;
275;942.15;2447;;USANN;;1826.9;1827.0;Alvdal;438;61.97983066;10.29213424;Storesølnkletten;;;;;;;;;;;;;;;;;;;;;;;
140;185.9;5372;Kommer snart!;SANN;16.07.2020;398.9;399.0;Andebu;719;59.37922859;10.07840358;Brånafjell;5.61;2020-07-16 12:39:28;0:58:46;0:04:18;0:54:28;7.3;6.18;102.2;237.4;84.7;8.7;2.32;25.9;5607.9;0.0;0.0;59.396535;10.067887;59.396545;10.067768;6.219818838840601;USANN;2793290847.0
325;655.68;5033;;USANN;;890.0;890.0;Andøy;1871;68.79041753;15.78216505;Skrivartinden;;;;;;;;;;;;;;;;;;;;;;;
68;319.27;1414;Kommune-topptur i romjula for å forsøke seg på Halden og Aremark sine kommuetopper. Parkerte ved Ørsjøen og tok sykkelene ut av bilen for å raskt komme seg innover på snøete veier. Det viste seg fort at under to til tre cm med snø var veiene også isete, så farten ble så som så. Det var tid for en rast etter at vi hadde passert mellom Boksjøene, og derifra fortsatte jeg alene mot toppen. Ved Søndre Stangebråten parkerte jeg sykkelen og tok snarveien gjennom skogen mot toppen. Det var strålende vintervær oppe i høyden, bare litt mer snø manglet. På vei tilbake røk sykkelkjede i første motbakke, så planen om å sykle innom Halden sine diffuse kommunetopper ble utsatt, enda så nærme de var.;SANN;30.12.2015;274.6;275.0;Aremark;118;59.08953283;11.72548695;Høgestang;31.39;2014-12-30 09:14:18;4:29:32;0:48:11;3:41:21;17.9;8.51;132.7;610.4;38.9;5.5;4.6;48.7;2309.2;0.0;29085.2;59.0375888161;11.5749536455;59.0375915822;11.5749072097;5.422092229619553;USANN;1689586199.0
244;270.05;42229;;USANN;;270.5;272.0;Arendal;906;58.49073319;8.50055944;Høgsteinheia;;;;;;;;;;;;;;;;;;;;;;;
161;100.73;55284;Hagahogget har blitt besteget ved flere forskjellige anledninger. Normalt har det vært start ved Solliveien, og så har stien blitt fulgt oppover. De første gangene ble enten GPS eller fotoapparat glemt hjemme, så denne gangen går turen hjemmenfra uten bruk av kunstige hjelpemidler som bil eller sykkel. Her er det kun sko med støtdemping, polyesterklær og telefon med musikk som har blitt benyttet for å komme seg opp etter at husdøra ble lukket. Fin treningstur, og utsikten fra Hagahogget sørover mot Oslofjorden er som normalt verdt en liten titt.;SANN;12.07.2017;458.8;458.0;Asker;220;59.85469;10.38279;Bergsåsen;19.35;2020-11-01 11:40:12;2:22:44;0:05:13;2:17:31;3.7;8.44;417.5;579.3;59.9;8.4;1.39;91.1;19350.5;0.0;0.0;59.822262;10.456522;59.822212;10.456528;7.393995339684511;USANN;1625407293.0
43;69.15;14909;Bilen ble parkert på Skansenhytta. Også inn her var det innkjøring forbudt uten spesial tillatelse, men vi hadde lært fra Spydeberg toppen at kommunetoppsamling i visse tilfeller gir denne spesialtillatelsen. Stien til Vardeåsen var merket med skilt der det stod Tårnet, og det var laget til med treplanker slik at man unngikk de verste sølepyttene. Tårnet på Vardeåsen var det lov å klatre opp i, og utsikten der oppe var upåklagelig til at det var en Østfoldtopp. Man kunne blant annet se til kraftstasjonen ved Solbergfossen som vi hadde inspisert før vi prøvde oss på Askims høyeste. ;SANN;13.07.2012;235.5;236.0;Askim;124;59.64305408;11.18609854;Vardåsen;1.3;2012-07-13 14:22:10;0:22:15;0:04:29;0:17:46;20.1;4.39;49.0;90.8;139.7;10.2;1.85;20.1;1300.4;0.0;0.0;59.6372055262;11.1813850701;59.6372447535;11.1814487725;117.91025649106489;USANN;3883124618.0
